yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1891,NL,BSN,ATL,,1,140,,87,51,,,Y,,Boston Beaneaters,South End Grounds II,184472
1891,NL,CHN,CHC,,2,137,,82,53,,,N,,Chicago Colts,South Side Park I,181431
1891,NL,CIN,CIN,,7,138,,56,81,,,N,,Cincinnati Reds,League Park I in Cincinnati,97500
1891,NL,CL4,CLV,,5,141,,65,74,,,N,,Cleveland Spiders,League Park I,132000
1891,AA,CL6,CLS,,6,138,,61,76,,,N,,Columbus Solons,Recreation Park II,
1891,AA,CN3,CKK,,7,102,,43,57,,,N,,Cincinnati Kelly's Killers,East End Park,
1891,AA,LS2,LOU,,8,141,,54,83,,,N,,Louisville Colonels,Eclipse Park I,
1891,AA,ML3,MLA,,3,36,,21,15,,,N,,Milwaukee Brewers,Athletic Field,
1891,NL,NY1,SFG,,3,136,,71,61,,,N,,New York Giants,Polo Grounds III,210568
1891,AA,PH4,PHQ,,5,143,,73,66,,,N,,Philadelphia Athletics,Athletic Park,
1891,NL,PHI,PHI,,4,138,,68,69,,,N,,Philadelphia Phillies,Philadelphia Baseball Grounds,217282
